Designator,Mid X,Mid Y,Rotation,Layer
TH3,97.6,-57.1,0.0,top
TH4,192.5,-64.1,0.0,top
TH5,136.0,-72.75,0.0,top
TH6,198.6,-126.2,0.0,top
TH7,73.0,-112.3,90.0,top
TH8,150.0,-113.0,0.0,top
